c_city	s_city	d_year	sum(lo_revenue)
		1996	5295181299
		1997	4956580032
		1992	5389053485
		1993	5842009138
		1994	5453875213
		1995	5553359522
		1996	5541633447
		1997	5530692682
		1992	5250433739
		1993	5187052480
		1994	5344164060
		1995	5356795694
		1996	5294805478
		1997	5483613887
		1992	5086445093
		1993	5168848576
		1994	5268752093
		1995	5173292201
		1996	5498660776
		1997	5197644066
		1992	5520002808
		1993	5365206172
		1994	5398318708
		1995	5706454402
		1996	5434186692
		1997	5909087758
	CHINA	1992	4977355316
	CHINA	1993	4982184641
	CHINA	1994	5002896828
	CHINA	1995	5205166525
	CHINA	1996	4791769112
	CHINA	1997	4940425766
	ALGERIA	1992	5227246610
	ALGERIA	1993	5096248688
	ALGERIA	1994	5202877739
	ALGERIA	1995	5395147216
	ALGERIA	1996	5369533019
	ALGERIA	1997	5256998338
		1992	5676049026
		1993	5197173686
		1994	5407305581
		1995	5113078183
		1996	5201399000
		1997	5448879858
		1992	5428537669
		1993	5015419869
		1994	5179903828
		1995	4960801923
		1996	5159576239
		1997	5215597651
		1992	5578670512
		1993	5584087399
		1994	5642933052
		1995	5745922564
		1996	5600606602
		1997	5250596833
		1992	5311078547
		1993	5236804359
		1994	5588886397
		1995	5395322945
		1996	5259877663
		1997	5191614191
		1992	5356357775
		1993	5683704663
		1994	5287079271
		1995	5551628181
		1996	5456963981
		1997	5529891224
		1992	5315907151
		1993	5330710836
		1994	5413597856
		1995	5461429219
		1996	5248194055
		1997	5074250138
		1992	5317496768
		1993	5491405592
		1994	5196166419
		1995	5357824651
		1996	5499072720
		1997	5464311214
		1992	5267354833
		1993	5692799907
		1994	5652427258
		1995	5346054891
		1996	5463816873
		1997	5360055964
	CHINA	1992	5213002171
	CHINA	1993	5129791390
	CHINA	1994	5142354434
	CHINA	1995	5165680297
	CHINA	1996	5024686843
	CHINA	1997	5128016606
	ALGERIA	1992	5474572137
	ALGERIA	1993	5294407226
	ALGERIA	1994	5191137819
	ALGERIA	1995	5633612307
	ALGERIA	1996	5338749403
	ALGERIA	1997	5090028759
		1992	5188776321
		1993	5261680568
		1994	5578560727
		1995	5372790604
		1996	5379799928
		1997	5319489218
		1992	5333900860
		1993	4911936533
		1994	4875058927
		1995	5619032826
		1996	5021491431
		1997	4942145108
		1992	5649039075
		1993	5546720673
		1994	5451666698
		1995	5449883620
		1996	5286184902
		1997	5744707501
		1992	5278300127
		1993	5274592921
		1994	5413158334
		1995	5356036221
		1996	5265351103
		1997	5648457964
		1992	5352832046
		1993	5565792920
		1994	5456247077
		1995	5333518828
		1996	5329897246
		1997	5955833578
		1992	5576305325
		1993	5309483450
		1994	5360637677
		1995	5320886275
		1996	5520025518
		1997	5231880852
		1992	5505217668
		1993	4984357783
		1994	5219584540
		1995	5689593722
		1996	5334982202
		1997	5166294680
		1992	5477087963
		1993	5544094863
		1994	5387759363
		1995	5261364283
		1996	5729328820
		1997	5233228892
	CHINA	1992	5185764077
	CHINA	1993	4901128073
	CHINA	1994	4878727050
	CHINA	1995	4842516941
	CHINA	1996	4787550303
	CHINA	1997	4928308312
	ALGERIA	1992	5093080115
	ALGERIA	1993	4999564519
	ALGERIA	1994	5390537701
	ALGERIA	1995	5468394003
	ALGERIA	1996	5109186337
	ALGERIA	1997	5171086027
		1992	5256008393
		1993	5242651046
		1994	5533794802
		1995	5321101840
		1996	5372786609
		1997	5217066259
		1992	5152190709
		1993	5060113678
		1994	4897071784
		1995	4824791222
		1996	5035861418
		1997	4968141680
		1992	5215695491
		1993	5502815879
		1994	5159185588
		1995	5109856161
		1996	5476452032
		1997	5490545937
		1992	5333903992
		1993	5309273656
		1994	5619969522
		1995	5454297299
		1996	5429487899
		1997	5376382483
		1992	5428291017
		1993	5434735519
		1994	5723170675
		1995	5494655707
		1996	5612911183
		1997	5546881351
		1992	5233191028
		1993	5119086830
		1994	5293437025
		1995	5259896336
		1996	5184794863
		1997	5562061331
		1992	5112861236
		1993	5111097769
		1994	5286477485
		1995	5390841480
		1996	5381695614
		1997	5270918999
		1992	4988443466
		1993	5385202522
		1994	5324306151
		1995	5581438215
		1996	5526865024
		1997	5608268806
	CHINA	1992	4766953123
	CHINA	1993	5003298847
	CHINA	1994	5036434635
	CHINA	1995	4851035515
	CHINA	1996	4895161491
	CHINA	1997	4836163349
	ALGERIA	1992	5309637059
	ALGERIA	1993	5265667746
	ALGERIA	1994	5032623199
	ALGERIA	1995	5267015060
	ALGERIA	1996	5179768818
	ALGERIA	1997	5248743143
		1992	5189138628
		1993	5369398853
		1994	5152779512
		1995	5204393129
		1996	5131451910
		1997	5181529647
		1992	4945696196
		1993	5004029504
		1994	4767991704
		1995	5059786169
		1996	4882051285
		1997	5039660459
		1992	5579991564
		1993	5342383013
		1994	5180224305
		1995	5281990085
		1996	5397151490
		1997	4877577655
		1992	4998763410
		1993	4971135879
		1994	5432480377
		1995	5296262026
		1996	5373327076
		1997	5034179290
		1992	5223076057
		1993	5395379291
		1994	5305514773
		1995	5333527446
		1996	5384821308
		1997	5408829201
		1992	5158261723
		1993	5135251077
		1994	5065802659
		1995	5079341573
		1996	5378661720
		1997	4769919410
		1992	5331454941
		1993	5206818496
		1994	5110471230
		1995	4739047288
		1996	4956434297
		1997	5139980131
		1992	5407759752
		1993	5129563906
		1994	5493437943
		1995	5183539167
		1996	5341852758
		1997	5182651898
	CHINA	1992	5213109965
	CHINA	1993	5069079378
	CHINA	1994	4987011492
	CHINA	1995	5267733284
	CHINA	1996	5136576668
	CHINA	1997	4991163345
	ALGERIA	1992	5259879221
	ALGERIA	1993	5315724695
	ALGERIA	1994	5361453246
	ALGERIA	1995	5602383450
	ALGERIA	1996	5302005397
	ALGERIA	1997	5387610731
		1992	5340724455
		1993	5304350461
		1994	5195522148
		1995	5109388500
		1996	5238651385
		1997	5405206353
		1992	5008206042
		1993	5196772186
		1994	4905132476
		1995	4767537588
		1996	5216632108
		1997	5217181810
		1992	5571156393
		1993	5470163229
		1994	5625800436
		1995	5455693998
		1996	5206217455
		1997	5595811897
		1992	5299848238
		1993	5434358751
		1994	5395150387
		1995	5462385017
		1996	5327639070
		1997	5269284518
		1992	5274015077
		1993	5362877667
		1994	5615434429
		1995	5538241832
		1996	5699504030
		1997	5282285077
		1992	5200433635
		1993	5344366289
		1994	5401963148
		1995	5457591114
		1996	5230535737
		1997	5426477430
		1992	5255619014
		1993	5259994796
		1994	5398240000
		1995	5574769788
		1996	5436170239
		1997	5449086045
		1992	5434358392
		1993	5373761567
		1994	5474885913
		1995	5566692127
		1996	5532612532
		1997	5792845795
	CHINA	1992	4963304377
	CHINA	1993	5271249803
	CHINA	1994	5422538527
	CHINA	1995	5492448169
	CHINA	1996	5334344939
	CHINA	1997	5154001118
	ALGERIA	1992	5257311243
	ALGERIA	1993	5195491335
	ALGERIA	1994	5700573053
	ALGERIA	1995	5684412293
	ALGERIA	1996	5343696449
	ALGERIA	1997	5117992942
		1992	5589878255
		1993	5361354314
		1994	4943443382
		1995	5711898382
		1996	5511672553
		1997	5435087948
		1992	5048065574
		1993	4802205364
		1994	4871598650
		1995	5016659356
		1996	4771396675
		1997	5016079806
		1992	5694246807
		1993	5637012128
		1994	5228757918
		1995	5448634417
		1996	5338850359
		1997	5521424157
		1992	5559677494
		1993	5206521083
		1994	5495594876
		1995	5628239676
		1996	5466984775
		1997	5237590089
		1992	5581280361
		1993	5617572416
		1994	5567593934
		1995	5646526774
		1996	5590857937
		1997	5559980622
		1992	5512271215
		1993	5187834215
		1994	5444682859
		1995	5290576974
		1996	5116934313
		1997	5146407028
		1992	5343092108
		1993	5658381876
		1994	5151847543
		1995	5585637586
		1996	5403969255
		1997	5113798993
		1992	5494476220
		1993	5369307248
		1994	5869715695
		1995	5421031626
		1996	5365097068
		1997	5169852393
